1.01875;1.05625;1.05625;1.89375;3.625;3.625;1.875;1;1;1;1;1;1;1;1.15;1.45;1.5125;1.3375;1.375;1.25;1.85;1.125;0.76875;1.63125;1.675;2.45;2.1375;1.0025;1.065;1.3375;1.65875;1.68625;1.515;1.2125;0.875;0.875;1.15;1.3125;1.325;1.225;1.6;1.0125
1;1;1.1625;1.6125;2.025;2.025;1.4875;0.7875;0.625;0.875;1.35;2.3625;3.25;3.075;2.225;1.6375;1.525;1.575;1.4625;1.2875;1.6;1.63125;1.13125;1.7125;1.8;1.8875;1.5875;1.1625;0.875;1.075;1.4275;1.4525;1.79;2.0025;1.45;0.8875;1;1.125;1.2125;1.0625;1.225;1.38125
1;0.875;0.625;0.875;1.64375;1.80625;2.43125;4.51875;4.625;2.125;1.0875;2.1875;3.2125;3.1375;2.2;1.3;1.125;1.26;1.03;1.195;1.2625;1.075;1.375;0.875;0.89375;1.28125;1.28125;1.89375;3;2.315;1.19;1.1875;1.75875;2.04875;1.715;1.1125;0.875;1;1.3375;1.2225;1.0475;1.1
1.04;0.885;0.625;0.625;1.0375;1.4875;1.6125;1.6625;1.875;1.875;1.5;1.125;1.0125;1.0375;0.9125;0.6375;0.625;0.875;1.1875;1.3225;0.9575;0.885;1.35;0.875;0.89375;1.01875;1.325;2.325;2.2875;1.4125;1.125;1.125;1.29;1.29;1.5375;1.725;1.325;0.8875;1.025;1.15;0.8125;0.5
1;0.875;0.5;0.25;0.5;0.875;1;1.25;1.75;1.75;1.25;1;1;1;1;1;0.875;0.625;0.9;1.15;1.4;1.1975;1.135;1.00625;1.00625;0.875;1.18125;1.2875;1.6125;2.1625;1.1625;1.0625;1.125;1.225;1.5675;1.8025;1.8625;1.325;1.0125;1;1.3625;0.9375
1;1;1;1;1;1;1;1.1;1.3;1.3;1.1;1;1;1;1;1;1.2625;1.525;1.2625;0.75;1.425;1.45;1.575;0.875;1;0.75625;0.76875;1.14375;1.43125;2.26875;3.18125;2.5;2;1.0625;1.275;1.675;2.3025;1.9125;1.4375;0.75;1.275;1.035
2.5625;1.625;0.6875;0.6875;0.9375;1;1;1;1.125;1.509375;1.7875;1.55625;1.225;1.196875;1.0625;0.6875;0.925;1.475;1.5625;1.525;1.125;1.635;1.295;0.895;0.885;0.875;0.875;0.75;1.34375;1.7;1.59375;2.3875;2.375;1.25;1;1;1.7;1.975;1.7625;0.8875;0.625;0.875
1.68125;1.13125;1;1;1.05;1.2;1.3;1.2;1.05;1.08125;1.325;1.55;1.6375;1.64375;1.3125;0.75;0.5125;0.525;0.9375;1.475;1.1375;1;1.625;1.3325;0.645;0.9375;1;0.625;0.89375;1;1.65;2.125;1.7;1.634375;1.009375;1.125;1.2275;1.125;1.65;1.8;1.30625;0.69375
1.75;1.15625;1.025;1.06875;1.225;1.55625;1.825;1.70625;1.325;1.0625;1;1;1.125;1.5625;2;1.875;1.25;0.6875;0.6375;0.65;1.05;0.9125;1.28125;1.15;1.7625;1;1;0.75625;0.8;0.8;1.1625;1.625;1.2;1.68125;3.20625;1.375;0.9375;1.0375;1.915;2.08125;2.06875;0.65
1.025;1.0075;1.03625;1.2075;1.601875;2.1025;2.37375;2.17;1.651875;1.21375;1.03125;1;1.05;1.2;1.425;1.7625;1.8625;1.5;1;1.18125;1.90625;1.8875;1.73125;1.695;1.15875;0.95125;1.228125;1.2575;1.118125;1.12625;1.08125;1;1.125;1.590625;1.60625;1.253125;1.425;1.3125;0.9375;1.45;1.0125;0
1;1;1;1.0625;1.3325;1.7675;2.02;1.8675;1.42;0.9125;0.65;0.75;0.9375;1;1.05;1.2;1.4375;1.7875;1.4375;1.0625;1.05;1.60625;1.8625;1.2875;1.88125;1.51125;0.6675;0.98125;1.184375;0.823125;0.92;1.08125;1.325;1.125;1.5375;1.975;1.15;1.1125;1.375;1;1.175;2
1;1;1;1.03125;1.15625;1.33125;1.395;1.29875;1.08875;0.73625;0.3825;0.375;0.71875;1.0625;1.1875;1.125;1.20625;1.45;1.3375;1.5625;0.7;0.99375;1.79375;1.75;1.4125;8;1.35;1.06875;1.15125;1.05125;1.16875;1.1375;1;1.1875;1.01875;1.6125;2.2875;1.25;1.3;1.190625;1.15;1.6375
1.05625;1.475;2.759375;3.625;2.75;1.4375;1;1;1;1;1;1;1.075;1.3;1.48125;1.425;1.35625;1.3125;1.55;1.7;1;0.625;0.775;1.96875;1.18125;1.375;1.875;1.555;0.8675;1.09375;1.423125;1.355625;1.1825;0.90625;1.1;1.1;1.40625;1.425;1.44375;1.425;1.375;1
1.08125;1.3875;1.81875;2.025;1.75625;1.1375;0.70625;0.75;1.1125;1.85625;2.80625;3.1625;2.65;1.93125;1.58125;1.55;1.51875;1.375;1.44375;1.425;1.8;1.1875;0.759375;1.621875;1.9375;2.0125;2.0125;1.2525;0.94;1.2125;1.51375;1.41625;1.3025;1.1875;0.9375;0.9375;1.2;1.621875;1.303125;1.225;1.6125;1.00625
0.75;0.75;1.259375;1.725;2.11875;3.475;4.571875;3.375;1.60625;1.6375;2.7;3.175;2.66875;1.75;1.2125;1.1925;1.145;1.1125;1.22875;1.275;1.5875;1.815625;1.003125;1.5875;2.01875;2.03125;1.575;1.08125;0.9375;1.10625;1.365;1.4025;1.63875;1.71375;1.225;0.88125;1;1.24375;1.1875;1.09375;1.4125;1.38125
0.755;0.625;0.83125;1.2625;1.55;1.6375;1.76875;1.875;1.6875;1.3125;1.06875;1.025;0.975;0.775;0.63125;0.75;1.03125;1.255;1.14;1.07625;1.30625;1.3125;1.25;0.8125;0.834375;1.628125;1.296875;1.446875;2.3125;1.94625;1.07125;1.21875;1.69625;1.8675;1.4775;0.9625;0.875;1;1.325;1.276875;1.208125;1.2875
0.6875;0.375;0.375;0.6875;0.9375;1.125;1.5;1.75;1.5;1.125;1;1;1;1;0.9375;0.75;0.7625;1.025;1.275;1.36125;1.16625;1.0675;1.6;1;0.83125;1.325;1.5;2.3875;2.2125;1.2075;1.095;1.23125;1.474375;1.488125;1.52625;1.46875;1.1;0.88125;1.0875;1.23125;1.06875;0.8625
1;1;1;1;1;1.05;1.2;1.3;1.2;1.05;1;1;1;1;1.13125;1.39375;1.39375;1.00625;1.0875;1.2875;1.43125;1.2425;1.3675;1.31875;1.06875;1.29375;1.490625;1.5875;1.6;1.6625;1.01875;1.06875;1.27625;1.33875;1.67875;1.9025;1.65625;1.10625;1.00625;1.0625;1.2875;1
1.15625;0.6875;0.8125;0.96875;1;1;1.0625;1.3171875;1.6484375;1.671875;1.390625;1.2109375;1.1296875;0.875;0.80625;1.2;1.51875;1.54375;1.325;0.9375;1.2275;1.3225;1.41875;0.975;1.1875;0.815625;0.83125;1.2125;1.35625;2.08125;3.090625;2.4075;1.595;1.125;1.516875;1.861875;2.00875;1.5125;1.15625;0.875;1.30625;1.12875
1.065625;1;1.025;1.125;1.25;1.25;1.125;1.065625;1.203125;1.4375;1.59375;1.640625;1.478125;3;0.63125;0.51875;0.73125;1.20625;1.30625;1.33125;1.15625;1.47875;1.12625;0.89;1.1175;0.875;0.884375;0.884375;1.334375;2.0125;1.940625;1.9;1.75;1.1875;1.145;1.145;1.61875;1.85;1.54375;0.8875;0.825;1.0125
1.090625;1.046875;1.146875;1.390625;1.690625;1.765625;1.515625;1.19375;1.03125;1;1.0625;1.34375;1.78125;1.9375;1.5625;0.96875;0.6625;0.64375;0.85;1.2625;1.01875;1.075;1.5125;1.265;0.89;0.971875;1.003125;0.75;1.0375;1.14375;1.63125;2.14375;1.43125;1.3484375;1.0671875;1.175;1.3975;1.46375;1.75625;1.5625;1.159375;0.846875
1.021875;1.121875;1.4046875;1.8521875;2.238125;2.271875;1.9109375;1.4328125;1.1225;1.015625;1.025;1.125;1.3125;1.59375;1.8125;1.68125;1.25;1.090625;1.54375;1.278125;1.15625;0.83125;1.353125;1.3;1.66875;0.9375;1;0.75625;0.784375;0.971875;1.296875;1.946875;2.190625;2.090625;2.603125;1.21875;1.10625;1.35625;2.10875;1.996875;1.753125;0.7
1;1.03125;1.1975;1.55;1.89375;1.94375;1.64375;1.16625;0.78125;0.7;0.84375;0.96875;1.025;1.125;1.31875;1.6125;1.6125;1.25;1.05625;1.115625;1.734375;1.70625;1.428125;1.665;1.226875;0.923125;1.0565625;8;0.9965625;0.938125;1.2125;1.35;1.359375;1.9890625;1.990625;1.2515625;1.2125;1.15625;1.31875;1.7125;1.3875;0.44375
1;1.015625;1.09375;1.24375;1.363125;1.346875;1.19375;0.9125;0.559375;0.37875;0.546875;0.890625;1.125;1.15625;1.165625;1.328125;1.39375;1.45;1.13125;0.88125;0.99375;1.540625;1.5;1.14375;1.753125;1.421875;0.65625;0.959375;1.0921875;0.7240625;0.906875;1.040625;1.4875;1.625;1.61875;1.8046875;1.0796875;1.11875;1.30125;1.0625;1.4125;1.9
2.1171875;3.1921875;3.1875;2.09375;1.21875;1;1;1;1;1;1.0375;1.1875;1.390625;1.453125;1.390625;1.334375;1.43125;1.625;1.35;1.28125;0.66875;0.821875;1.421875;1.33125;1.346875;1.075;1.55625;1.034375;1.075625;0.90375;0.984375;0.96875;1.08125;1.40625;1.109375;1.646875;2.746875;1.3125;1.11875;1.1140625;1.5325;1.859375
